,id,name,type,lat,lon,value_start,value_end,value,notes
91,101212,"San Carlos, CA",StanfordCity,37.4955,-122.267,1960-01-01,1970-01-01,21370,test
92,101213,"San Carlos, CA",StanfordCity,37.4955,-122.267,1980-01-01,1990-01-01,24710,test
93,101214,"San Carlos, CA",StanfordCity,37.4955,-122.267,1970-01-01,1980-01-01,26053,test
94,101215,"San Carlos, CA",StanfordCity,37.4955,-122.267,1990-01-01,2000-01-01,26167,test
95,101216,"San Carlos, CA",StanfordCity,37.4955,-122.267,2000-01-01,2010-01-01,27718,test
96,101217,"San Carlos, CA",StanfordCity,37.4955,-122.267,2010-01-01,2020-01-01,28406,test
97,101218,"Belmont, CA",StanfordCity,37.5144,-122.294,1880-01-01,1890-01-01,202,test
98,101219,"Belmont, CA",StanfordCity,37.5144,-122.294,1930-01-01,1940-01-01,984,test
99,101220,"Belmont, CA",StanfordCity,37.5144,-122.294,1940-01-01,1950-01-01,1229,test
100,101221,"Belmont, CA",StanfordCity,37.5144,-122.294,1950-01-01,1960-01-01,5567,test
101,101222,"Belmont, CA",StanfordCity,37.5144,-122.294,1960-01-01,1970-01-01,15996,test
102,101223,"Belmont, CA",StanfordCity,37.5144,-122.294,1970-01-01,1980-01-01,23538,test
103,101224,"Belmont, CA",StanfordCity,37.5144,-122.294,1990-01-01,2000-01-01,24127,test
104,101225,"Belmont, CA",StanfordCity,37.5144,-122.294,1980-01-01,1990-01-01,24505,test
105,101226,"Belmont, CA",StanfordCity,37.5144,-122.294,2000-01-01,2010-01-01,25123,test
106,101227,"Belmont, CA",StanfordCity,37.5144,-122.294,2010-01-01,2020-01-01,25835,test
107,101228,"Hillborough, CA",StanfordCity,37.5572,-122.359,1920-01-01,1930-01-01,931,test
108,101229,"Hillborough, CA",StanfordCity,37.5572,-122.359,1930-01-01,1940-01-01,1891,test
109,101230,"Hillborough, CA",StanfordCity,37.5572,-122.359,1940-01-01,1950-01-01,2747,test
110,101231,"Hillborough, CA",StanfordCity,37.5572,-122.359,1950-01-01,1960-01-01,3552,test
111,101232,"Hillborough, CA",StanfordCity,37.5572,-122.359,1960-01-01,1970-01-01,7554,test
112,101233,"Hillborough, CA",StanfordCity,37.5572,-122.359,1970-01-01,1980-01-01,8753,test
113,101234,"Hillborough, CA",StanfordCity,37.5572,-122.359,1980-01-01,1990-01-01,10372,test
114,101235,"Hillborough, CA",StanfordCity,37.5572,-122.359,1990-01-01,2000-01-01,10667,test
115,101236,"Hillborough, CA",StanfordCity,37.5572,-122.359,2000-01-01,2010-01-01,10825,test
116,101237,"Hillborough, CA",StanfordCity,37.5572,-122.359,2010-01-01,2020-01-01,10825,test
117,101238,"San Mateo, CA",StanfordCity,37.5603,-122.311,1880-01-01,1890-01-01,932,test
118,101239,"San Mateo, CA",StanfordCity,37.5603,-122.311,1900-01-01,1910-01-01,1832,test
119,101240,"San Mateo, CA",StanfordCity,37.5603,-122.311,1910-01-01,1920-01-01,4384,test
120,101241,"San Mateo, CA",StanfordCity,37.5603,-122.311,1920-01-01,1930-01-01,5979,test
121,101242,"San Mateo, CA",StanfordCity,37.5603,-122.311,1930-01-01,1940-01-01,13444,test
122,101243,"San Mateo, CA",StanfordCity,37.5603,-122.311,1940-01-01,1950-01-01,19403,test
123,101244,"San Mateo, CA",StanfordCity,37.5603,-122.311,1950-01-01,1960-01-01,41782,test
124,101245,"San Mateo, CA",StanfordCity,37.5603,-122.311,1960-01-01,1970-01-01,69870,test
125,101246,"San Mateo, CA",StanfordCity,37.5603,-122.311,1980-01-01,1990-01-01,77640,test
126,101247,"San Mateo, CA",StanfordCity,37.5603,-122.311,1970-01-01,1980-01-01,78991,test
127,101248,"San Mateo, CA",StanfordCity,37.5603,-122.311,1990-01-01,2000-01-01,85486,test
128,101249,"San Mateo, CA",StanfordCity,37.5603,-122.311,2000-01-01,2010-01-01,92482,test
129,101250,"San Mateo, CA",StanfordCity,37.5603,-122.311,2010-01-01,2020-01-01,97207,test
130,101251,"Burlingame, CA",StanfordCity,37.59,-122.363,1910-01-01,1920-01-01,1565,test
131,101252,"Burlingame, CA",StanfordCity,37.59,-122.363,1920-01-01,1930-01-01,4107,test
132,101253,"Burlingame, CA",StanfordCity,37.59,-122.363,1930-01-01,1940-01-01,13270,test
133,101254,"Burlingame, CA",StanfordCity,37.59,-122.363,1940-01-01,1950-01-01,15940,test
134,101255,"Burlingame, CA",StanfordCity,37.59,-122.363,1950-01-01,1960-01-01,19886,test
135,101256,"Burlingame, CA",StanfordCity,37.59,-122.363,1960-01-01,1970-01-01,24036,test
136,101257,"Burlingame, CA",StanfordCity,37.59,-122.363,1980-01-01,1990-01-01,26173,test
137,101258,"Burlingame, CA",StanfordCity,37.59,-122.363,1990-01-01,2000-01-01,26801,test
138,101259,"Burlingame, CA",StanfordCity,37.59,-122.363,1970-01-01,1980-01-01,27320,test
139,101260,"Burlingame, CA",StanfordCity,37.59,-122.363,2000-01-01,2010-01-01,28158,test
140,101261,"Burlingame, CA",StanfordCity,37.59,-122.363,2010-01-01,2020-01-01,28806,test
141,101262,"Millbrae, CA",StanfordCity,37.599,-122.402,1880-01-01,1890-01-01,195,test
142,101263,"Millbrae, CA",StanfordCity,37.599,-122.402,1890-01-01,1900-01-01,243,test
143,101264,"Millbrae, CA",StanfordCity,37.599,-122.402,1950-01-01,1960-01-01,8972,test
144,101265,"Millbrae, CA",StanfordCity,37.599,-122.402,1960-01-01,1970-01-01,15873,test
145,101266,"Millbrae, CA",StanfordCity,37.599,-122.402,1980-01-01,1990-01-01,20058,test
146,101267,"Millbrae, CA",StanfordCity,37.599,-122.402,1990-01-01,2000-01-01,20412,test
147,101268,"Millbrae, CA",StanfordCity,37.599,-122.402,2000-01-01,2010-01-01,20718,test
148,101269,"Millbrae, CA",StanfordCity,37.599,-122.402,1970-01-01,1980-01-01,20920,test
149,101270,"Millbrae, CA",StanfordCity,37.599,-122.402,2010-01-01,2020-01-01,21532,test
150,101271,"Pacifica, CA",StanfordCity,37.6066,-122.477,1960-01-01,1970-01-01,20995,test
151,101272,"Pacifica, CA",StanfordCity,37.6066,-122.477,1970-01-01,1980-01-01,36020,test
152,101273,"Pacifica, CA",StanfordCity,37.6066,-122.477,1980-01-01,1990-01-01,36866,test
153,101274,"Pacifica, CA",StanfordCity,37.6066,-122.477,2010-01-01,2020-01-01,37234,test
154,101275,"Pacifica, CA",StanfordCity,37.6066,-122.477,1990-01-01,2000-01-01,37670,test
155,101276,"Pacifica, CA",StanfordCity,37.6066,-122.477,2000-01-01,2010-01-01,38390,test
156,101277,"San Bruno, CA",StanfordCity,37.6254,-122.431,1920-01-01,1930-01-01,1562,test
157,101278,"San Bruno, CA",StanfordCity,37.6254,-122.431,1930-01-01,1940-01-01,3610,test
158,101279,"San Bruno, CA",StanfordCity,37.6254,-122.431,1940-01-01,1950-01-01,6519,test
159,101280,"San Bruno, CA",StanfordCity,37.6254,-122.431,1950-01-01,1960-01-01,12478,test
160,101281,"San Bruno, CA",StanfordCity,37.6254,-122.431,1960-01-01,1970-01-01,29063,test
161,101282,"San Bruno, CA",StanfordCity,37.6254,-122.431,1980-01-01,1990-01-01,35417,test
162,101283,"San Bruno, CA",StanfordCity,37.6254,-122.431,1970-01-01,1980-01-01,36254,test
163,101284,"San Bruno, CA",StanfordCity,37.6254,-122.431,1990-01-01,2000-01-01,38961,test
164,101285,"San Bruno, CA",StanfordCity,37.6254,-122.431,2000-01-01,2010-01-01,40165,test
165,101286,"San Bruno, CA",StanfordCity,37.6254,-122.431,2010-01-01,2020-01-01,41114,test
166,101287,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1910-01-01,1920-01-01,1989,test
167,101288,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1920-01-01,1930-01-01,4411,test
168,101289,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1930-01-01,1940-01-01,6193,test
169,101290,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1940-01-01,1950-01-01,6629,test
170,101291,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1950-01-01,1960-01-01,19351,test
171,101292,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1960-01-01,1970-01-01,39418,test
172,101293,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1970-01-01,1980-01-01,46646,test
173,101294,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1980-01-01,1990-01-01,49393,test
174,101295,"South San Francisco, CA",StanfordCity,37.6551,-122.376,1990-01-01,2000-01-01,54312,test
175,101296,"South San Francisco, CA",StanfordCity,37.6551,-122.376,2000-01-01,2010-01-01,60552,test
176,101297,"South San Francisco, CA",StanfordCity,37.6551,-122.376,2010-01-01,2020-01-01,63632,test
177,101298,"Brisbane, CA",StanfordCity,37.6758,-122.383,1990-01-01,2000-01-01,2952,test
178,101299,"Brisbane, CA",StanfordCity,37.6758,-122.383,1980-01-01,1990-01-01,2969,test
179,101300,"Brisbane, CA",StanfordCity,37.6758,-122.383,1970-01-01,1980-01-01,3003,test
180,101301,"Brisbane, CA",StanfordCity,37.6758,-122.383,2000-01-01,2010-01-01,3597,test
181,101302,"Brisbane, CA",StanfordCity,37.6758,-122.383,2010-01-01,2020-01-01,4282,test
182,101303,"Colma , CA",StanfordCity,37.6776,-122.459,1880-01-01,1890-01-01,188,test
183,101304,"Colma , CA",StanfordCity,37.6776,-122.459,1950-01-01,1960-01-01,297,test
184,101305,"Colma , CA",StanfordCity,37.6776,-122.459,1940-01-01,1950-01-01,354,test
185,101306,"Colma , CA",StanfordCity,37.6776,-122.459,1930-01-01,1940-01-01,369,test
186,101307,"Colma , CA",StanfordCity,37.6776,-122.459,1980-01-01,1990-01-01,395,test
187,101308,"Colma , CA",StanfordCity,37.6776,-122.459,1960-01-01,1970-01-01,500,test
188,101309,"Colma , CA",StanfordCity,37.6776,-122.459,1970-01-01,1980-01-01,537,test
189,101310,"Colma , CA",StanfordCity,37.6776,-122.459,1990-01-01,2000-01-01,1103,test
190,101311,"Colma , CA",StanfordCity,37.6776,-122.459,2000-01-01,2010-01-01,1187,test
191,101312,"Colma , CA",StanfordCity,37.6776,-122.459,2010-01-01,2020-01-01,1792,test
192,101313,"Daly City, CA",StanfordCity,37.7009,-122.465,1920-01-01,1930-01-01,3779,test
193,101314,"Daly City, CA",StanfordCity,37.7009,-122.465,1930-01-01,1940-01-01,7838,test
194,101315,"Daly City, CA",StanfordCity,37.7009,-122.465,1940-01-01,1950-01-01,9625,test
195,101316,"Daly City, CA",StanfordCity,37.7009,-122.465,1950-01-01,1960-01-01,15191,test
196,101317,"Daly City, CA",StanfordCity,37.7009,-122.465,1960-01-01,1970-01-01,44791,test
197,101318,"Daly City, CA",StanfordCity,37.7009,-122.465,1970-01-01,1980-01-01,66922,test
198,101319,"Daly City, CA",StanfordCity,37.7009,-122.465,1980-01-01,1990-01-01,78519,test
199,101320,"Daly City, CA",StanfordCity,37.7009,-122.465,1990-01-01,2000-01-01,92311,test
200,101321,"Daly City, CA",StanfordCity,37.7009,-122.465,2010-01-01,2020-01-01,101123,test
201,101322,"Daly City, CA",StanfordCity,37.7009,-122.465,2000-01-01,2010-01-01,103625,test
202,101323,"Bayview, CA",StanfordCity,37.7335,-122.39,1990-01-01,2000-01-01,1318,test
203,101324,"Nordhoff, CA",StanfordCity,37.734,-122.441,1890-01-01,1900-01-01,244,test
204,101325,"San Francisco, CA",StanfordCity,37.78,-122.419,1850-01-01,1860-01-01,30000,test
205,101326,"San Francisco, CA",StanfordCity,37.78,-122.419,1860-01-01,1870-01-01,56802,test
206,101327,"San Francisco, CA",StanfordCity,37.78,-122.419,1870-01-01,1880-01-01,149473,test
207,101328,"San Francisco, CA",StanfordCity,37.78,-122.419,1880-01-01,1890-01-01,233959,test
208,101329,"San Francisco, CA",StanfordCity,37.78,-122.419,1890-01-01,1900-01-01,298997,test
209,101330,"San Francisco, CA",StanfordCity,37.78,-122.419,1900-01-01,1910-01-01,342782,test
210,101331,"San Francisco, CA",StanfordCity,37.78,-122.419,1910-01-01,1920-01-01,416912,test
211,101332,"San Francisco, CA",StanfordCity,37.78,-122.419,1920-01-01,1930-01-01,506676,test
212,101333,"San Francisco, CA",StanfordCity,37.78,-122.419,1930-01-01,1940-01-01,634394,test
213,101334,"San Francisco, CA",StanfordCity,37.78,-122.419,1940-01-01,1950-01-01,634536,test
214,101335,"San Francisco, CA",StanfordCity,37.78,-122.419,1980-01-01,1990-01-01,678974,test
215,101336,"San Francisco, CA",StanfordCity,37.78,-122.419,1970-01-01,1980-01-01,715674,test
216,101337,"San Francisco, CA",StanfordCity,37.78,-122.419,1990-01-01,2000-01-01,723959,test
217,101338,"San Francisco, CA",StanfordCity,37.78,-122.419,1960-01-01,1970-01-01,740316,test
218,101339,"San Francisco, CA",StanfordCity,37.78,-122.419,1950-01-01,1960-01-01,775357,test
219,101340,"San Francisco, CA",StanfordCity,37.78,-122.419,2000-01-01,2010-01-01,776733,test
220,101341,"San Francisco, CA",StanfordCity,37.78,-122.419,2010-01-01,2020-01-01,805235,test
221,101342,"South Park, CA",StanfordCity,37.7816,-122.394,1950-01-01,1960-01-01,1837,test
222,101343,"South Park, CA",StanfordCity,37.7816,-122.394,1960-01-01,1970-01-01,3261,test
223,101344,"Sausalito, CA",StanfordCity,37.8584,-122.492,1900-01-01,1910-01-01,1628,test
224,101345,"Sausalito, CA",StanfordCity,37.8584,-122.492,1910-01-01,1920-01-01,2383,test
225,101346,"Sausalito, CA",StanfordCity,37.8584,-122.492,1920-01-01,1930-01-01,2790,test
226,101347,"Sausalito, CA",StanfordCity,37.8584,-122.492,1940-01-01,1950-01-01,3540,test
227,101348,"Sausalito, CA",StanfordCity,37.8584,-122.492,1930-01-01,1940-01-01,3667,test
228,101349,"Sausalito, CA",StanfordCity,37.8584,-122.492,1950-01-01,1960-01-01,4828,test
229,101350,"Sausalito, CA",StanfordCity,37.8584,-122.492,1960-01-01,1970-01-01,5331,test
230,101351,"Sausalito, CA",StanfordCity,37.8584,-122.492,1970-01-01,1980-01-01,6158,test
231,101352,"Sausalito, CA",StanfordCity,37.8584,-122.492,2010-01-01,2020-01-01,7061,test
232,101353,"Sausalito, CA",StanfordCity,37.8584,-122.492,1990-01-01,2000-01-01,7152,test
233,101354,"Sausalito, CA",StanfordCity,37.8584,-122.492,2000-01-01,2010-01-01,7330,test
234,101355,"Sausalito, CA",StanfordCity,37.8584,-122.492,1980-01-01,1990-01-01,7338,test
235,101356,"Tamalpais-Homestead Valley, CA",StanfordCity,37.8783,-122.536,1980-01-01,1990-01-01,8511,test
236,101357,"Tamalpais-Homestead Valley, CA",StanfordCity,37.8783,-122.536,1990-01-01,2000-01-01,9601,test
237,101358,"Tiburon, CA",StanfordCity,37.8872,-122.458,1970-01-01,1980-01-01,6209,test
238,101359,"Tiburon, CA",StanfordCity,37.8872,-122.458,1980-01-01,1990-01-01,6685,test
239,101360,"Tiburon, CA",StanfordCity,37.8872,-122.458,1990-01-01,2000-01-01,7532,test
240,101361,"Tiburon, CA",StanfordCity,37.8872,-122.458,2000-01-01,2010-01-01,8666,test
241,101362,"Tiburon, CA",StanfordCity,37.8872,-122.458,2010-01-01,2020-01-01,8962,test
242,101363,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1910-01-01,1920-01-01,2551,test
243,101364,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1920-01-01,1930-01-01,2554,test
244,101365,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1930-01-01,1940-01-01,4164,test
245,101366,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1940-01-01,1950-01-01,4847,test
246,101367,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1950-01-01,1960-01-01,7331,test
247,101368,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1960-01-01,1970-01-01,10411,test
248,101369,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1970-01-01,1980-01-01,12942,test
249,101370,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1980-01-01,1990-01-01,12967,test
250,101371,"Mill Valley, CA",StanfordCity,37.9084,-122.542,1990-01-01,2000-01-01,13038,test
251,101372,"Mill Valley, CA",StanfordCity,37.9084,-122.542,2000-01-01,2010-01-01,13600,test
252,101373,"Mill Valley, CA",StanfordCity,37.9084,-122.542,2010-01-01,2020-01-01,13903,test
253,101374,"Bolinas, CA",StanfordCity,37.9107,-122.689,1990-01-01,2000-01-01,1098,test
254,101375,"Bolinas, CA",StanfordCity,37.9107,-122.689,1980-01-01,1990-01-01,1225,test
255,101376,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1920-01-01,1930-01-01,607,test
256,101377,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1930-01-01,1940-01-01,1027,test
257,101378,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1940-01-01,1950-01-01,1098,test
258,101379,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1950-01-01,1960-01-01,1933,test
259,101380,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1960-01-01,1970-01-01,5962,test
260,101381,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1980-01-01,1990-01-01,8074,test
261,101382,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1990-01-01,2000-01-01,8272,test
262,101383,"Corte Madera, CA",StanfordCity,37.9321,-122.508,1970-01-01,1980-01-01,8464,test
263,101384,"Corte Madera, CA",StanfordCity,37.9321,-122.508,2000-01-01,2010-01-01,9100,test
264,101385,"Corte Madera, CA",StanfordCity,37.9321,-122.508,2010-01-01,2020-01-01,9253,test
265,101386,"Larkspur, CA",StanfordCity,37.941,-122.53,1910-01-01,1920-01-01,594,test
266,101387,"Larkspur, CA",StanfordCity,37.941,-122.53,1920-01-01,1930-01-01,612,test
267,101388,"Larkspur, CA",StanfordCity,37.941,-122.53,1930-01-01,1940-01-01,1241,test
268,101389,"Larkspur, CA",StanfordCity,37.941,-122.53,1940-01-01,1950-01-01,1558,test
269,101390,"Larkspur, CA",StanfordCity,37.941,-122.53,1950-01-01,1960-01-01,2905,test
270,101391,"Larkspur, CA",StanfordCity,37.941,-122.53,1960-01-01,1970-01-01,5710,test
271,101392,"Larkspur, CA",StanfordCity,37.941,-122.53,1970-01-01,1980-01-01,10487,test
272,101393,"Larkspur, CA",StanfordCity,37.941,-122.53,1980-01-01,1990-01-01,11064,test
273,101394,"Larkspur, CA",StanfordCity,37.941,-122.53,1990-01-01,2000-01-01,11070,test
274,101395,"Larkspur, CA",StanfordCity,37.941,-122.53,2010-01-01,2020-01-01,11926,test
