date,sqft_backlog_rolling_year
2017-10-14,55181.90344202898
2017-10-15,55181.90344202898
2017-10-16,55291.914311594206
2017-10-17,55212.60996376812
2017-10-18,55242.70416666667
2017-10-19,55139.00851449275
2017-10-20,55144.990398550726
2017-10-21,55100.56793478261
2017-10-22,54902.35288808664
2017-10-23,54731.786870503594
2017-10-24,56300.86960431655
2017-10-25,56294.44154676259
2017-10-26,56245.37320143885
2017-10-27,56192.20773381295
2017-10-28,56369.988267148015
2017-10-29,56369.988267148015
2017-10-30,56218.88039568345
2017-10-31,56219.76169064748
2017-11-01,56291.142985611514
2017-11-02,56301.32284172662
2017-11-03,56318.24010791367
2017-11-04,56263.75
2017-11-05,56066.801258992804
2017-11-06,55986.75537634409
2017-11-07,55966.15681003584
2017-11-08,55996.479390681
2017-11-09,56011.40053763441
2017-11-10,56182.92356115108
2017-11-11,56182.92356115108
2017-11-12,55985.493727598565
2017-11-13,56075.92741935484
2017-11-14,54798.511648745516
2017-11-15,55477.1370967742
2017-11-16,55715.78584229391
2017-11-17,55675.79659498208
2017-11-18,55798.051258992804
2017-11-19,55599.33781362007
2017-11-20,55430.65803571429
2017-11-21,55460.608035714286
2017-11-22,55474.72589285715
2017-11-23,55413.929211469534
2017-11-24,55413.929211469534
2017-11-25,55413.929211469534
2017-11-26,55413.929211469534
2017-11-27,55281.170535714286
2017-11-28,55382.94910714286
2017-11-29,55462.44553571429
2017-11-30,55451.638392857145
2017-12-01,55366.15267857143
2017-12-02,55546.81272401434
2017-12-03,55546.81272401434
2017-12-04,55357.87053571428
2017-12-05,54973.545535714286
2017-12-06,54876.60625
2017-12-07,54867.49553571428
2017-12-08,54680.88167259786
2017-12-09,54834.46339285714
2017-12-10,54640.32651245552
2017-12-11,54508.399822695035
2017-12-12,54460.65336879432
2017-12-13,54920.699468085106
2017-12-14,54917.27748226951
2017-12-15,54843.62854609929
2017-12-16,54925.33185053381
2017-12-17,54925.33185053381
2017-12-18,54939.079181494664
2017-12-19,55358.95106761566
2017-12-20,53555.22864768683
2017-12-21,53557.21441281139
2017-12-22,53564.527580071175
2017-12-23,52756.83660714285
2017-12-24,52939.45609318996
2017-12-25,52939.45609318996
2017-12-26,52939.45609318996
2017-12-27,51526.52419354839
2017-12-28,51697.1370967742
2017-12-29,53019.67473118279
2017-12-30,52917.57643884892
2017-12-31,52739.176523297494
2018-01-01,52739.176523297494
2018-01-02,52578.65446428571
2018-01-03,52575.08660714285
2018-01-04,52564.29017857143
2018-01-05,52350.69017857143
2018-01-06,52423.370071684585
2018-01-07,52607.871402877696
2018-01-08,52437.7105734767
2018-01-09,52349.51344086022
2018-01-10,52254.12634408602
2018-01-11,52080.07232142857
2018-01-12,51912.15089285714
2018-01-13,51818.96875
2018-01-14,51818.96875
2018-01-15,51818.96875
2018-01-16,51718.709074733095
2018-01-17,51613.12145390071
2018-01-18,51467.05762411348
2018-01-19,51534.050531914894
2018-01-20,51318.8164893617
2018-01-21,51318.8164893617
2018-01-22,51250.38250883392
2018-01-23,51088.778268551236
2018-01-24,50799.852473498235
2018-01-25,51175.2835689046
2018-01-26,51219.686395759716
2018-01-27,50973.56826241135
2018-01-28,50797.25176678445
2018-01-29,50698.9551056338
2018-01-30,50484.219190140844
2018-01-31,50093.59242957747
2018-02-01,50168.11003521127
2018-02-02,50239.159330985916
2018-02-03,50385.92667844523
2018-02-04,50211.59242957747
2018-02-05,51462.05350877193
2018-02-06,51192.179824561405
2018-02-07,51434.71315789474
2018-02-08,51390.478070175435
2018-02-09,51441.11666666667
2018-02-10,51552.567781690144
2018-02-11,51552.567781690144
2018-02-12,51558.324823943665
2018-02-13,51625.61707746479
2018-02-14,51569.043133802814
2018-02-15,51104.44806338028
2018-02-16,51173.71214788732
2018-02-17,51182.52385159011
2018-02-18,51176.41077738516
2018-02-19,51176.41077738516
2018-02-20,51039.317781690144
2018-02-21,50971.02552816901
2018-02-22,50912.43045774648
2018-02-23,50464.34595070423
2018-02-24,50531.56625441696
2018-02-25,50531.56625441696
2018-02-26,50552.50618374558
2018-02-27,50086.145759717314
2018-02-28,50223.79240282685
2018-03-01,50222.77120141343
2018-03-02,50321.39310954064
2018-03-03,48998.516784452295
2018-03-04,49169.589539007095
2018-03-05,49212.83776595745
2018-03-06,47244.1640070922
2018-03-07,47469.57535460993
2018-03-08,47408.19237588652
2018-03-09,47309.29875886525
2018-03-10,47427.11476868328
2018-03-11,47423.36743772242
2018-03-12,47267.17464539007
2018-03-13,47143.85195035461
2018-03-14,47115.958333333336
2018-03-15,47113.468971631206
2018-03-16,47235.84485815603
2018-03-17,47375.317615658365
2018-03-18,47208.20656028369
2018-03-19,47227.65106007067
2018-03-20,47615.81007067138
2018-03-21,47583.092756183745
2018-03-22,47560.91607773852
2018-03-23,47582.01148409894
2018-03-24,47492.80477031802
2018-03-25,47326.277288732395
2018-03-26,47695.49911971831
2018-03-27,47777.12940140845
2018-03-28,47582.520246478874
2018-03-29,47855.76320422535
2018-03-30,47718.31602112676
2018-03-31,47822.92137809187
2018-04-01,47822.92137809187
2018-04-02,47659.58362676056
2018-04-03,47772.86531690141
2018-04-04,47642.86531690141
2018-04-05,47626.446302816905
2018-04-06,47653.65404929577
2018-04-07,47549.260600706715
2018-04-08,47391.13292253521
2018-04-09,47443.76320422535
2018-04-10,47450.527288732395
2018-04-11,47417.29137323944
2018-04-12,47495.31954225352
2018-04-13,47516.21214788732
2018-04-14,47608.95848056537
2018-04-15,47773.80230496454
2018-04-16,47636.368374558304
2018-04-17,47618.41431095406
2018-04-18,47606.813604240284
2018-04-19,47629.629858657245
2018-04-20,47693.53091872791
2018-04-21,47833.06826241135
2018-04-22,47668.96554770318
2018-04-23,47520.58890845071
2018-04-24,47495.046654929574
2018-04-25,46836.01496478873
2018-04-26,46831.793133802814
2018-04-27,46849.953345070426
2018-04-28,45107.99559859155
2018-04-29,45107.99559859155
2018-04-30,45126.90757042253
2018-05-01,45242.949823943665
2018-05-02,45272.80897887324
2018-05-03,43557.64700704225
2018-05-04,43612.61883802817
2018-05-05,42999.12809187279
2018-05-06,42999.12809187279
2018-05-07,42918.807218309856
2018-05-08,42243.95158450704
2018-05-09,44736.905809859156
2018-05-10,45152.60299295775
2018-05-11,45571.976232394365
2018-05-12,44525.17402826855
2018-05-13,44371.25440140845
2018-05-14,44380.88116197183
2018-05-15,44362.67341549296
2018-05-16,44528.409330985916
2018-05-17,44624.69454225352
2018-05-18,44504.93045774648
2018-05-19,44586.69699646643
2018-05-20,44586.69699646643
2018-05-21,45771.93397887324
2018-05-22,46347.19806338028
2018-05-23,46676.00088028169
2018-05-24,48019.76848591549
2018-05-25,47820.25792253521
2018-05-26,47823.446113074206
2018-05-27,47660.50088028169
2018-05-28,47496.20438596491
2018-05-29,47351.532342657345
2018-05-30,47443.570804195806
2018-05-31,47453.75961538462
2018-06-01,47336.819055944055
2018-06-02,47466.65701754386
2018-06-03,47466.65701754386
2018-06-04,47371.75262237762
2018-06-05,47571.79108391608
2018-06-06,47533.34702797203
2018-06-07,47172.09527972028
2018-06-08,47009.19667832168
2018-06-09,47085.000877192986
2018-06-10,46922.45891608392
2018-06-11,46946.32604895105
2018-06-12,46925.80506993007
2018-06-13,47429.50087412587
2018-06-14,47434.46241258741
2018-06-15,47714.65821678322
2018-06-16,47672.86101398602
2018-06-17,47507.70470383275
2018-06-18,47349.22309027778
2018-06-19,47299.57378472222
2018-06-20,45984.813368055555
2018-06-21,43505.108506944445
2018-06-22,43590.77309027778
2018-06-23,43669.88031358885
2018-06-24,43821.52325174825
2018-06-25,43702.81411149826
2018-06-26,41114.53710801394
2018-06-27,41125.035365853655
2018-06-28,40981.20261324042
2018-06-29,41009.21655052265
2018-06-30,40000.892132867135
2018-07-01,40000.892132867135
2018-07-02,40035.36765734266
2018-07-03,40049.60891608392
2018-07-04,39910.83675958188
2018-07-05,39859.45
2018-07-06,40064.87508710801
2018-07-07,39941.51800699301
2018-07-08,39802.84721254355
2018-07-09,39755.62552083333
2018-07-10,39753.79913194444
2018-07-11,39695.40677083333
2018-07-12,39647.06649305556
2018-07-13,39502.493576388886
2018-07-14,39377.681076388886
2018-07-15,39377.681076388886
2018-07-16,39435.9171875
2018-07-17,39452.19496527778
