date,type,value
2011-06-27,Accessory Dwelling Unit,91.2568306010929
2011-06-28,Accessory Dwelling Unit,91.2568306010929
2011-06-29,Accessory Dwelling Unit,91.2568306010929
2011-06-30,Accessory Dwelling Unit,90.20765027322405
2011-07-01,Accessory Dwelling Unit,90.20765027322405
2011-07-02,Accessory Dwelling Unit,90.20765027322405
2011-07-03,Accessory Dwelling Unit,90.20765027322405
2011-07-04,Accessory Dwelling Unit,90.20765027322405
2011-07-05,Accessory Dwelling Unit,90.20765027322405
2011-07-06,Accessory Dwelling Unit,90.20765027322405
2011-07-07,Accessory Dwelling Unit,90.20765027322405
2011-07-08,Accessory Dwelling Unit,91.35245901639344
2011-07-09,Accessory Dwelling Unit,91.35245901639344
2011-07-10,Accessory Dwelling Unit,91.35245901639344
2011-07-11,Accessory Dwelling Unit,91.35245901639344
2011-07-12,Accessory Dwelling Unit,91.35245901639344
2011-07-13,Accessory Dwelling Unit,91.35245901639344
2011-07-14,Accessory Dwelling Unit,91.35245901639344
2011-07-15,Accessory Dwelling Unit,91.35245901639344
2011-07-16,Accessory Dwelling Unit,91.35245901639344
2011-07-17,Accessory Dwelling Unit,91.35245901639344
2011-07-18,Accessory Dwelling Unit,91.35245901639344
2011-07-19,Accessory Dwelling Unit,91.35245901639344
2011-07-20,Accessory Dwelling Unit,93.10109289617486
2011-07-21,Accessory Dwelling Unit,93.10109289617486
2011-07-22,Accessory Dwelling Unit,93.10109289617486
2011-07-23,Accessory Dwelling Unit,93.10109289617486
2011-07-24,Accessory Dwelling Unit,93.10109289617486
2011-07-25,Accessory Dwelling Unit,93.10109289617486
2011-07-26,Accessory Dwelling Unit,94.00819672131148
2011-07-27,Accessory Dwelling Unit,94.00819672131148
2011-07-28,Accessory Dwelling Unit,85.51366120218579
2011-07-29,Accessory Dwelling Unit,82.50273224043715
2011-07-30,Accessory Dwelling Unit,82.50273224043715
2011-07-31,Accessory Dwelling Unit,82.50273224043715
2011-08-01,Accessory Dwelling Unit,82.50273224043715
2011-08-02,Accessory Dwelling Unit,85.21311475409836
2011-08-03,Accessory Dwelling Unit,83.21857923497268
2011-08-04,Accessory Dwelling Unit,82.30874316939891
2011-08-05,Accessory Dwelling Unit,82.30874316939891
2011-08-06,Accessory Dwelling Unit,82.30874316939891
2011-08-07,Accessory Dwelling Unit,82.30874316939891
2011-08-08,Accessory Dwelling Unit,82.30874316939891
2011-08-09,Accessory Dwelling Unit,82.30874316939891
2011-08-10,Accessory Dwelling Unit,82.30874316939891
2011-08-11,Accessory Dwelling Unit,80.6639344262295
2011-08-12,Accessory Dwelling Unit,80.6639344262295
2011-08-13,Accessory Dwelling Unit,80.6639344262295
2011-08-14,Accessory Dwelling Unit,80.6639344262295
2011-08-15,Accessory Dwelling Unit,81.59836065573771
2011-08-16,Accessory Dwelling Unit,81.59836065573771
2011-08-17,Accessory Dwelling Unit,81.59836065573771
2011-08-18,Accessory Dwelling Unit,81.59836065573771
2011-08-19,Accessory Dwelling Unit,81.59836065573771
2011-08-20,Accessory Dwelling Unit,81.59836065573771
2011-08-21,Accessory Dwelling Unit,81.59836065573771
2011-08-22,Accessory Dwelling Unit,81.59836065573771
2011-08-23,Accessory Dwelling Unit,81.59836065573771
2011-08-24,Accessory Dwelling Unit,81.59836065573771
2011-08-25,Accessory Dwelling Unit,81.59836065573771
2011-08-26,Accessory Dwelling Unit,81.59836065573771
2011-08-27,Accessory Dwelling Unit,81.59836065573771
2011-08-28,Accessory Dwelling Unit,79.96174863387978
2011-08-29,Accessory Dwelling Unit,79.96174863387978
2011-08-30,Accessory Dwelling Unit,79.96174863387978
2011-08-31,Accessory Dwelling Unit,79.96174863387978
