,date,type,value
530,2012-03-09,Addition,3428.895890410959
531,2012-03-12,Addition,3428.8
532,2012-03-13,Addition,3407.3753424657534
533,2012-03-14,Addition,3406.38904109589
534,2012-03-15,Addition,3402.731506849315
535,2012-03-16,Addition,3393.386301369863
536,2012-03-19,Addition,3390.213698630137
537,2012-03-20,Addition,3394.3479452054794
538,2012-03-21,Addition,3391.4301369863015
539,2012-03-22,Addition,3389.3342465753426
540,2012-03-23,Addition,3414.487671232877
541,2012-03-26,Addition,3410.0493150684933
542,2012-03-27,Addition,3406.9342465753425
543,2012-03-28,Addition,3404.5068493150684
544,2012-03-29,Addition,3396.832876712329
545,2012-03-30,Addition,3386.301369863014
546,2012-04-03,Addition,3388.5287671232877
547,2012-04-04,Addition,3391.3342465753426
548,2012-04-05,Addition,3363.2383561643837
549,2012-04-06,Addition,3327.8739726027397
550,2012-04-09,Addition,3331.1369863013697
551,2012-04-10,Addition,3331.8794520547945
552,2012-04-11,Addition,3331.8794520547945
553,2012-04-12,Addition,3331.0054794520547
554,2012-04-13,Addition,3327.7890410958903
555,2012-04-16,Addition,3319.5616438356165
556,2012-04-17,Addition,3318.9397260273972
557,2012-04-18,Addition,3318.545205479452
558,2012-04-19,Addition,3314.2794520547945
559,2012-04-20,Addition,3310.221917808219
560,2012-04-23,Addition,3307.654794520548
561,2012-04-24,Addition,3301.2657534246578
562,2012-04-25,Addition,3304.1753424657536
563,2012-04-26,Addition,3302.0493150684933
564,2012-04-27,Addition,3303.572602739726
565,2012-04-30,Addition,3296.2356164383564
566,2012-05-01,Addition,3328.860273972603
567,2012-05-02,Addition,3324.3972602739727
568,2012-05-03,Addition,3322.7835616438356
569,2012-05-04,Addition,3319.7616438356163
570,2012-05-08,Addition,3322.3616438356166
571,2012-05-09,Addition,3365.3479452054794
572,2012-05-10,Addition,3365.3479452054794
573,2012-05-11,Addition,3377.9931506849316
574,2012-05-15,Addition,3387.905479452055
575,2012-05-16,Addition,3386.5794520547947
576,2012-05-17,Addition,3391.3356164383563
577,2012-05-18,Addition,3392.8972602739727
578,2012-05-21,Addition,3388.1493150684933
579,2012-05-22,Addition,3380.8972602739727
580,2012-05-23,Addition,3383.1493150684933
581,2012-05-24,Addition,3376.9109589041095
582,2012-05-25,Addition,3533.464383561644
583,2012-05-29,Addition,3534.0205479452056
584,2012-05-30,Addition,3532.9931506849316
585,2012-05-31,Addition,3543.1301369863013
586,2012-06-01,Addition,3548.1684931506848
587,2012-06-04,Addition,3548.1684931506848
588,2012-06-05,Addition,3513.7931506849313
589,2012-06-06,Addition,3519.4753424657533
590,2012-06-07,Addition,3523.2561643835616
591,2012-06-08,Addition,3517.4013698630138
592,2012-06-11,Addition,3517.4013698630138
593,2012-06-12,Addition,3532.702739726027
594,2012-06-13,Addition,3535.5849315068494
595,2012-06-14,Addition,3548.987671232877
596,2012-06-15,Addition,3547.82602739726
597,2012-06-18,Addition,3549.195890410959
598,2012-06-19,Addition,3686.8698630136987
599,2012-06-20,Addition,3691.3438356164384
600,2012-06-21,Addition,3690.1328767123287
601,2012-06-22,Addition,3689.8150684931506
602,2012-06-25,Addition,3689.8150684931506
603,2012-06-26,Addition,3691.22602739726
604,2012-06-27,Addition,3695.913698630137
