date,total_sqft_issued_amt,total_new_units_issued_amt,count_permits_issued,count_total_permits_issued
2014-03-10,26578.959866220735,12.355704697986576,136.31967213114754,49893
2014-03-11,26662.541806020068,12.409395973154362,137.12841530054644,50189
2014-03-12,26656.92642140468,12.409395973154362,137.3415300546448,50267
2014-03-13,26645.91973244147,12.406040268456376,137.24590163934425,50232
2014-03-14,26691.75585284281,12.436241610738255,137.20218579234972,50216
2014-03-15,26645.344481605352,12.379194630872483,136.88524590163934,50100
2014-03-16,26718.89932885906,12.417508417508417,136.45081967213116,49941
2014-03-17,26650.297658862877,12.379194630872483,136.90983606557376,50109
2014-03-18,26606.823333333334,12.34448160535117,137.60928961748633,50365
2014-03-19,26616.923333333332,12.354515050167224,137.95081967213116,50490
2014-03-20,26539.873333333333,12.31438127090301,137.97540983606558,50499
2014-03-21,26553.55,12.354515050167224,137.93715846994536,50485
2014-03-22,26358.99,12.351170568561873,137.78415300546447,50429
2014-03-23,26269.003344481604,12.208053691275168,137.4071038251366,50291
2014-03-24,26449.316666666666,12.381270903010034,137.74043715846994,50413
2014-03-25,26646.19,12.387959866220736,138.2704918032787,50607
2014-03-26,26652.393333333333,12.384615384615385,138.46994535519124,50680
2014-03-27,26640.44,12.404682274247492,138.5191256830601,50698
2014-03-28,26634.16,12.404682274247492,138.59016393442624,50724
2014-03-29,26595.606666666667,12.391304347826088,138.23224043715848,50593
2014-03-30,26630.33110367893,12.426174496644295,137.79781420765028,50434
2014-03-31,26647.260869565216,12.436241610738255,138.12568306010928,50554
2014-04-01,26641.803333333333,12.451505016722408,138.78688524590163,50796
2014-04-02,26646.05,12.45819397993311,139.05464480874318,50894
2014-04-03,26631.06333333333,12.461538461538462,138.9207650273224,50845
2014-04-04,26189.266666666666,12.003344481605351,138.89890710382514,50837
2014-04-05,26179.65,11.993311036789297,138.47814207650273,50683
2014-04-06,25949.83277591973,11.671140939597315,138.0136612021858,50513
2014-04-07,25863.333333333332,11.632107023411372,138.45355191256832,50674
2014-04-08,25837.68438538206,11.613333333333333,139.02459016393442,50883
2014-04-09,25861.986710963454,11.623333333333333,139.32513661202185,50993
2014-04-10,25837.00664451827,11.63,139.4672131147541,51045
2014-04-11,25829.056478405317,11.633333333333333,139.48360655737704,51051
2014-04-12,25723.056478405317,11.476666666666667,138.97540983606558,50865
2014-04-13,25725.376666666667,11.498327759197325,138.40983606557376,50658
2014-04-14,26231.232558139534,12.056666666666667,138.81420765027323,50806
2014-04-15,26237.3488372093,12.056666666666667,139.40983606557376,51024
2014-04-16,26217.0511627907,12.05,139.72677595628414,51140
2014-04-17,26258.333554817276,12.056666666666667,139.61475409836066,51099
2014-04-18,27161.360132890368,13.183333333333334,139.68852459016392,51126
2014-04-19,27153.25382059801,13.183333333333334,139.17486338797815,50938
2014-04-20,27206.254666666668,13.210702341137123,138.70491803278688,50766
2014-04-21,27454.721333333335,13.478260869565217,139.08743169398906,50906
2014-04-22,27522.24466666667,13.491638795986622,139.77322404371586,51157
2014-04-23,27537.698,13.505016722408026,140.16120218579235,51299
2014-04-24,27498.511333333336,13.404682274247492,140.1830601092896,51307
2014-04-25,27851.801333333333,13.555183946488294,140.24043715846994,51328
2014-04-26,27826.821333333333,13.548494983277592,139.5655737704918,51081
2014-04-27,27903.95117056856,13.587248322147651,139.0136612021858,50879
2014-04-28,27923.7872909699,13.590604026845638,139.37978142076503,51013
2014-04-29,27941.11839464883,13.600671140939598,139.93169398907105,51215
2014-04-30,27925.232107023414,13.600671140939598,140.06830601092895,51265
2014-05-01,27753.941137123747,13.328859060402685,140.0,51240
2014-05-02,27821.252173913046,13.36241610738255,140.10928961748633,51280
2014-05-03,27808.466220735787,13.355704697986576,139.66666666666666,51118
2014-05-04,27843.612080536914,13.387205387205388,139.2431693989071,50963
2014-05-05,28511.877181208056,14.026936026936028,139.6830601092896,51124
2014-05-06,29037.8033557047,14.501683501683502,140.23497267759564,51326
2014-05-07,29095.43422818792,14.531986531986531,140.39344262295083,51384
2014-05-08,29304.729530201344,14.784511784511784,140.34426229508196,51366
2014-05-09,29390.528187919463,14.801346801346801,140.39617486338798,51385
2014-05-10,29311.471140939597,14.771043771043772,139.775956284153,51158
2014-05-11,29389.292592592596,14.817567567567568,139.2486338797814,50965
2014-05-12,29506.602356902356,14.912162162162161,139.7295081967213,51141
2014-05-13,30332.459395973157,15.592592592592593,140.3879781420765,51382
2014-05-14,30407.14060402685,15.592592592592593,140.60382513661202,51461
2014-05-15,30567.93590604027,15.771043771043772,140.44808743169398,51404
2014-05-16,30520.81845637584,15.747474747474747,140.51639344262296,51429
2014-05-17,30493.811744966446,15.737373737373737,139.94808743169398,51221
2014-05-18,30460.560067114096,15.727272727272727,139.4262295081967,51030
2014-05-19,30780.85201342282,15.734006734006734,139.9863387978142,51235
2014-05-20,30727.23712374582,15.691275167785236,140.57103825136613,51449
2014-05-21,31538.457859531773,16.37248322147651,140.80054644808743,51533
2014-05-22,31568.00635451505,16.385906040268456,140.77868852459017,51525
2014-05-23,31384.584949832777,16.399328859060404,140.95355191256832,51589
2014-05-24,31365.658528428095,16.392617449664428,140.32513661202185,51359
2014-05-25,31330.133444816056,16.40740740740741,139.89071038251367,51200
2014-05-26,31330.133444816056,16.40740740740741,139.89890710382514,51203
2014-05-27,31263.41966666667,16.36577181208054,140.39344262295083,51384
2014-05-28,31807.21561461794,16.926421404682273,140.9945355191257,51604
2014-05-29,31841.50465116279,16.94648829431438,141.0846994535519,51637
2014-05-30,32106.986378737543,17.140468227424748,141.16666666666666,51667
2014-05-31,32080.986378737543,17.137123745819398,140.72677595628414,51506
2014-06-01,31780.563000000002,16.73489932885906,140.21584699453553,51319
2014-06-02,31864.780398671097,16.705685618729095,140.6830601092896,51490
2014-06-03,31800.34735099338,16.66,141.36065573770492,51738
2014-06-04,31805.96655629139,16.663333333333334,141.57650273224044,51817
2014-06-05,31790.675165562916,16.676666666666666,141.43715846994536,51766
2014-06-06,31605.443377483443,16.67,141.4153005464481,51758
2014-06-07,31565.29105960265,16.64666666666667,140.75409836065575,51516
2014-06-08,31635.826910299005,16.68896321070234,140.2704918032787,51339
2014-06-09,31643.255481727578,16.68896321070234,140.80601092896174,51535
2014-06-10,31605.43344370861,16.653333333333332,141.4808743169399,51782
2014-06-11,31716.913576158942,16.66,141.60928961748633,51829
2014-06-12,31614.14536423841,16.68,141.52185792349727,51797
2014-06-13,31578.86390728477,16.683333333333334,141.3879781420765,51748
2014-06-14,31539.658609271526,16.676666666666666,140.79781420765028,51532
2014-06-15,31283.49800664452,16.46153846153846,140.29781420765028,51349
2014-06-16,32226.40166112957,16.471571906354516,140.85792349726776,51554
2014-06-17,32292.11926910299,16.48160535117057,141.48907103825135,51785
2014-06-18,32310.50797342193,16.48160535117057,141.80054644808743,51899
2014-06-19,32222.61760797342,16.464882943143813,141.80601092896174,51901
2014-06-20,31948.494684385383,16.13377926421405,142.06284153005464,51995
2014-06-21,31917.64750830565,16.123745819397993,141.5136612021858,51794
2014-06-22,31777.81362126246,16.110367892976587,141.10382513661202,51644
2014-06-23,31809.84019933555,16.11705685618729,141.70491803278688,51864
2014-06-24,32888.4201986755,17.006666666666668,142.2568306010929,52066
2014-06-25,32828.73145695365,17.006666666666668,142.50819672131146,52158
2014-06-26,32776.069205298016,17.16,142.47540983606558,52146
2014-06-27,32797.5559602649,17.166666666666668,142.49180327868854,52152
2014-06-28,32770.569205298016,17.143333333333334,142.03005464480876,51983
2014-06-29,30331.002990033223,16.20066889632107,141.46174863387978,51775
2014-06-30,30916.44485049834,16.240802675585286,141.9808743169399,51965
2014-07-01,30988.169102990036,16.25752508361204,142.62295081967213,52200
2014-07-02,30980.79700996678,16.264214046822744,142.80327868852459,52266
2014-07-03,30941.089368770765,16.25083612040134,142.7704918032787,52254
2014-07-04,31011.503,16.16778523489933,142.1120218579235,52013
2014-07-05,31011.503,16.16778523489933,142.09562841530055,52007
2014-07-06,31001.979666666666,16.164429530201343,141.87158469945356,51925
2014-07-07,30941.99966777409,16.11371237458194,142.30601092896174,52084
2014-07-08,30893.400331125828,16.083333333333332,142.95901639344262,52323
2014-07-09,31037.728145695364,16.14666666666667,143.3224043715847,52456
2014-07-10,30991.320860927153,16.13,143.29781420765028,52447
2014-07-11,30995.102317880795,16.143333333333334,143.20218579234972,52412
2014-07-12,30928.804304635763,16.133333333333333,142.5601092896175,52177
2014-07-13,30929.47142857143,16.17056856187291,142.06830601092895,51997
2014-07-14,30875.764569536426,16.126666666666665,142.60928961748633,52195
2014-07-15,30955.582450331127,16.19333333333333,143.22677595628414,52421
2014-07-16,32121.118874172185,16.186666666666667,143.36065573770492,52470
2014-07-17,32026.459933774837,16.19,143.13934426229508,52389
2014-07-18,32319.94006622517,16.393333333333334,143.18852459016392,52407
2014-07-19,32298.62880794702,16.386666666666667,142.7431693989071,52244
2014-07-20,32364.61760797342,16.42809364548495,142.2622950819672,52068
2014-07-21,32457.29534883721,16.463333333333335,142.8879781420765,52297
2014-07-22,32504.614285714288,16.476666666666667,143.46448087431693,52508
2014-07-23,32303.41162790698,16.153333333333332,143.83879781420765,52645
2014-07-24,32242.547840531563,16.153333333333332,143.75409836065575,52614
2014-07-25,31965.25880398671,16.136666666666667,143.71311475409837,52599
2014-07-26,31941.61262458472,16.123333333333335,143.2377049180328,52425
2014-07-27,31936.63466666667,16.040133779264213,142.68032786885246,52221
2014-07-28,32009.148,16.046822742474916,143.28688524590163,52443
2014-07-29,32074.791333333334,16.08361204013378,143.89344262295083,52665
2014-07-30,32090.108,16.103678929765888,144.04098360655738,52719
2014-07-31,32010.048000000003,16.02675585284281,143.77322404371586,52621
2014-08-01,31818.984666666667,15.896321070234114,143.51639344262296,52527
2014-08-02,31639.304666666667,15.889632107023411,142.9808743169399,52331
2014-08-03,31708.88093645485,15.919463087248323,142.45901639344262,52140
2014-08-04,31742.656856187292,15.922818791946309,142.94808743169398,52319
2014-08-05,31680.001333333334,15.88628762541806,143.5846994535519,52552
2014-08-06,31703.921333333335,15.896321070234114,143.92896174863387,52678
2014-08-07,31634.548000000003,15.879598662207357,143.82513661202185,52640
2014-08-08,31541.274666666668,15.832775919732441,143.62295081967213,52566
2014-08-09,31604.727090301003,15.87248322147651,143.0054644808743,52340
2014-08-10,31340.870469798658,15.367003367003367,142.6448087431694,52208
2014-08-11,31274.503010033444,15.335570469798657,143.1448087431694,52391
2014-08-12,31246.088,15.301003344481606,143.90983606557376,52671
2014-08-13,31364.414666666667,15.411371237458194,144.16666666666666,52765
2014-08-14,31278.931333333334,15.357859531772576,143.97267759562843,52694
2014-08-15,31250.238,15.297658862876254,143.75956284153006,52616
2014-08-16,31216.844666666668,15.290969899665551,143.21584699453553,52417
2014-08-17,31296.987959866223,15.332214765100671,142.73497267759564,52241
2014-08-18,31703.964548494983,15.348993288590604,143.20491803278688,52413
2014-08-19,31672.968,15.307692307692308,143.83879781420765,52645
2014-08-20,31724.528000000002,15.311036789297658,144.18579234972677,52772
2014-08-21,31598.051333333333,15.053511705685619,144.15300546448088,52760
2014-08-22,31583.616333333335,15.053511705685619,144.02185792349727,52712
2014-08-23,31569.076333333334,15.104026845637584,143.54371584699453,52537
2014-08-24,31554.016387959866,15.114478114478114,142.94808743169398,52319
2014-08-25,31586.581605351173,15.124579124579125,143.49726775956285,52520
2014-08-26,31497.196333333333,15.077181208053691,144.14754098360655,52758
2014-08-27,31515.456333333335,15.077181208053691,144.41256830601094,52855
2014-08-28,31516.909666666666,15.208053691275168,144.33879781420765,52828
2014-08-29,31524.01466666667,15.221476510067115,144.10382513661202,52742
2014-08-30,31464.818000000003,15.144295302013424,143.60655737704917,52560
2014-08-31,31540.115050167224,15.191919191919192,143.1584699453552,52396
2014-09-01,31540.115050167224,15.191919191919192,143.15027322404373,52393
2014-09-02,31520.354666666666,15.184563758389261,143.83879781420765,52645
2014-09-03,33214.45315614618,15.160535117056856,144.39344262295083,52848
2014-09-04,33223.92159468438,15.177257525083611,144.48907103825135,52883
2014-09-05,33295.34019933555,15.200668896321071,144.62568306010928,52933
2014-09-06,33285.16079734219,15.200668896321071,144.1693989071038,52766
2014-09-07,33369.00133333333,15.24496644295302,143.6830601092896,52588
2014-09-08,33547.66883333334,15.251677852348994,144.2622950819672,52800
2014-09-09,33623.59684385382,15.214046822742475,144.81420765027323,53002
2014-09-10,33654.630066445185,15.220735785953178,144.96994535519124,53059
2014-09-11,33652.77624584718,15.237458193979933,144.8224043715847,53005
2014-09-12,33642.66328903654,15.20401337792642,144.81147540983608,53001
2014-09-13,33599.42740863787,15.19732441471572,144.19398907103826,52775
2014-09-14,33692.12216666667,15.24496644295302,143.65573770491804,52578
2014-09-15,33752.408833333335,15.261744966442953,144.24043715846994,52792
2014-09-16,33738.62674418605,15.240802675585284,144.8087431693989,53000
2014-09-17,33822.3842192691,15.234113712374581,145.03551912568307,53083
2014-09-18,34549.673255813956,15.22742474916388,144.827868852459,53007
2014-09-19,34514.26129568106,15.23076923076923,145.0054644808743,53072
2014-09-20,34477.63671096346,15.200668896321071,144.69945355191257,52960
2014-09-21,34559.71883333333,15.241610738255034,144.14207650273224,52756
2014-09-22,34701.673255813956,15.468227424749164,144.71857923497268,52967
2014-09-23,34634.98890728477,15.436666666666667,145.35792349726776,53201
2014-09-24,34650.270364238415,15.443333333333333,145.72131147540983,53334
2014-09-25,34668.67102649007,15.44,145.66120218579235,53312
2014-09-26,34773.151158940396,15.486666666666666,145.66666666666666,53314
2014-09-27,34628.73062913907,15.483333333333333,145.15027322404373,53125
2014-09-28,34620.48559602649,15.48,144.6912568306011,52957
2014-09-29,34697.16440397351,15.496666666666666,145.19398907103826,53141
2014-09-30,34678.00214521452,15.458471760797343,145.78688524590163,53358
2014-10-01,34665.79422442245,15.455149501661129,146.03825136612022,53450
2014-10-02,32901.368481848185,15.475083056478406,145.99180327868854,53433
2014-10-03,32859.30577557756,15.465116279069768,145.97814207650273,53428
2014-10-04,32806.464191419145,15.438538205980066,145.61475409836066,53295
2014-10-05,32913.439238410596,15.49,145.1693989071038,53132
2014-10-06,32937.52201986755,15.496666666666666,145.81967213114754,53370
2014-10-07,32903.447689768975,15.458471760797343,146.47267759562843,53609
2014-10-08,33034.850330033005,15.56810631229236,146.70218579234972,53693
2014-10-09,33036.880033003305,15.564784053156146,146.672131147541,53682
2014-10-10,33721.97574257426,16.13621262458472,146.60928961748633,53659
2014-10-11,33669.72491749175,16.11627906976744,146.06830601092895,53461
2014-10-12,33517.608112582784,15.79,145.61748633879782,53296
2014-10-13,33556.63129139073,15.8,146.2377049180328,53523
2014-10-14,33510.84372937294,15.757475083056478,146.91256830601094,53770
2014-10-15,33643.81072607261,15.996677740863788,147.02732240437157,53812
2014-10-16,33658.87673267327,16.00996677740864,146.98907103825135,53798
2014-10-17,33518.5599009901,16.0,146.9398907103825,53780
2014-10-18,33485.03514851485,15.993355481727574,146.4398907103825,53597
2014-10-19,33531.151158940396,16.023333333333333,145.97540983606558,53427
2014-10-20,33571.1048013245,16.036666666666665,146.53825136612022,53633
2014-10-21,33546.266171617164,16.01328903654485,147.19945355191257,53875
2014-10-22,33736.29257425743,16.26578073089701,147.46174863387978,53971
2014-10-23,33686.091254125415,16.033222591362126,147.28961748633878,53908
2014-10-24,33673.53349834984,16.026578073089702,147.30601092896174,53914
2014-10-25,33656.45248344371,15.916666666666666,146.775956284153,53720
2014-10-26,33142.82940199336,15.966555183946488,146.34972677595627,53564
2014-10-27,33206.19751655629,16.156666666666666,146.87704918032787,53757
2014-10-28,33126.988943894394,16.11295681063123,147.50819672131146,53988
2014-10-29,33091.2199669967,16.099667774086377,147.6693989071038,54047
2014-10-30,32786.50379537954,16.00996677740864,147.59562841530055,54020
2014-10-31,33759.11765676568,16.980066445182725,147.70218579234972,54059
2014-11-01,33737.30577557756,16.966777408637874,147.13661202185793,53852
2014-11-02,33640.7571192053,17.003333333333334,146.6693989071038,53681
2014-11-03,33595.46089108911,16.963455149501662,146.99726775956285,53801
2014-11-04,33508.14358552632,16.91390728476821,147.5928961748634,54019
2014-11-05,33481.28174342105,16.897350993377483,147.827868852459,54105
2014-11-06,33464.650164473685,16.887417218543046,147.6448087431694,54038
2014-11-07,33488.586019736846,16.90066225165563,147.5737704918033,54012
2014-11-08,33585.16551155115,16.953488372093023,146.9398907103825,53780
2014-11-09,33609.28857615894,16.89666666666667,146.5191256830601,53626
2014-11-10,33636.47069536424,16.903333333333332,147.0737704918033,53829
2014-11-11,33636.47069536424,16.903333333333332,147.28961748633878,53908
2014-11-12,33572.977392739274,16.853820598006646,147.94262295081967,54147
2014-11-13,33442.66716171617,16.78405315614618,147.81147540983608,54099
2014-11-14,33558.68696369637,16.81063122923588,147.8306010928962,54106
2014-11-15,33515.68036303631,16.78405315614618,147.38251366120218,53942
2014-11-16,33591.60976821192,16.83,146.87704918032787,53757
2014-11-17,33630.80182119206,16.843333333333334,147.57103825136613,54011
2014-11-18,33587.66386138614,16.81063122923588,148.275956284153,54269
2014-11-19,33289.446039603965,16.568106312292358,148.5191256830601,54358
2014-11-20,33274.39653465347,16.548172757475083,148.42896174863387,54325
2014-11-21,33400.95759075908,16.55481727574751,148.54644808743168,54368
2014-11-22,33362.01039603961,16.54152823920266,148.1120218579235,54209
2014-11-23,33443.3713576159,16.563333333333333,147.66666666666666,54046
2014-11-24,33466.47400662252,16.57,148.30601092896174,54280
2014-11-25,34669.917715231786,17.663333333333334,149.08196721311475,54564
2014-11-26,34661.010430463575,17.656666666666666,149.40437158469945,54682
2014-11-27,34708.70813953489,17.68896321070234,148.91803278688525,54504
2014-11-28,34719.64716666667,17.741610738255034,148.52185792349727,54359
2014-11-29,34605.10348837209,17.741610738255034,148.52459016393442,54360
2014-11-30,34605.10348837209,17.741610738255034,148.51092896174865,54355
2014-12-01,34531.427649006626,17.695652173913043,149.23497267759564,54620
2014-12-02,34435.19851485149,17.64,149.83333333333334,54839
2014-12-03,34431.832178217825,17.613333333333333,150.16120218579235,54959
2014-12-04,34346.139108910895,17.586666666666666,150.14207650273224,54952
2014-12-05,34329.56485148515,17.586666666666666,150.39617486338798,55045
2014-12-06,34305.007095709574,17.576666666666668,150.21311475409837,54978
2014-12-07,33967.2951986755,17.301003344481604,149.79234972677597,54824
2014-12-08,34011.75215231788,17.321070234113712,149.96174863387978,54886
2014-12-09,33974.57805280528,17.303333333333335,150.54371584699453,55099
2014-12-10,35074.693564356436,17.31,150.88251366120218,55223
2014-12-11,35023.64735973597,17.293333333333333,150.89890710382514,55229
2014-12-12,35035.337128712876,17.29,150.96448087431693,55253
2014-12-13,34757.20248344371,17.34448160535117,150.6584699453552,55141
2014-12-14,34860.076910299,17.399328859060404,150.38524590163934,55041
2014-12-15,34796.45745033113,17.354515050167223,151.18579234972677,55334
2014-12-16,34830.77533112583,17.37123745819398,151.72677595628414,55532
2014-12-17,34863.42102649007,17.37458193979933,151.9945355191257,55630
2014-12-18,35720.636258278144,17.367892976588628,152.01639344262296,55638
2014-12-19,35943.44751655629,17.525083612040135,152.09562841530055,55667
2014-12-20,36027.66827242525,17.57046979865772,151.55464480874318,55469
2014-12-21,36131.4005,17.622895622895623,151.18579234972677,55334
2014-12-22,36176.9805,17.646464646464647,151.70491803278688,55524
2014-12-23,36076.50880398671,17.59731543624161,152.2513661202186,55724
2014-12-24,36101.88754152824,17.604026845637584,152.39344262295083,55776
2014-12-25,36190.417166666666,17.653198653198654,152.12841530054644,55679
2014-12-26,36070.18322259136,17.593959731543624,152.34699453551912,55759
2014-12-27,36149.6605,17.643097643097644,151.98907103825135,55628
2014-12-28,36237.234615384616,17.68918918918919,151.7431693989071,55538
2014-12-29,36365.632608695654,17.83108108108108,152.275956284153,55733
2014-12-30,36296.97383333334,17.78787878787879,152.83879781420765,55939
2014-12-31,36204.4905,17.68686868686869,152.98907103825135,55994
2015-01-01,36287.38177257525,17.72635135135135,152.68032786885246,55881
2015-01-02,36194.0005,17.673400673400675,153.02732240437157,56008
2015-01-03,36301.68277591973,17.72972972972973,152.55737704918033,55836
2015-01-04,36406.57768456376,17.783050847457627,152.1584699453552,55690
2015-01-05,36502.87298657718,17.8,152.5983606557377,55851
2015-01-06,36450.08411371238,17.77364864864865,153.24043715846994,56086
2015-01-07,36516.63929765886,17.780405405405407,153.49726775956285,56180
2015-01-08,36551.819899665556,17.777027027027028,153.49726775956285,56180
2015-01-09,36424.45200668897,17.486486486486488,153.5327868852459,56193
2015-01-10,36508.721979865775,17.528813559322035,153.01092896174865,56002
2015-01-11,36480.97701342282,17.515254237288136,152.60382513661202,55853
2015-01-12,36525.413255033556,17.53220338983051,152.8415300546448,55940
2015-01-13,36435.5991638796,17.486486486486488,153.53825136612022,56195
2015-01-14,36443.48210702341,17.493243243243242,153.78961748633878,56287
2015-01-15,36009.18110367893,17.114864864864863,153.93169398907105,56339
2015-01-16,34389.95033444816,17.125,154.07650273224044,56392
2015-01-17,34477.70184563759,17.183050847457626,153.90983606557376,56331
2015-01-18,34452.3461409396,17.172881355932205,153.4672131147541,56169
2015-01-19,34568.34730639731,17.231292517006803,153.224043715847,56080
2015-01-20,34506.040771812084,17.1864406779661,153.83879781420765,56305
2015-01-21,34433.9737458194,17.152027027027028,154.28961748633878,56470
