date,new_units_backlog_rolling_year
2011-07-06,4.583690987124464
2011-07-07,4.545064377682404
2011-07-08,4.618025751072961
2011-07-09,4.629310344827586
2011-07-10,4.629310344827586
2011-07-11,4.609442060085837
2011-07-12,4.609442060085837
2011-07-13,4.629310344827586
2011-07-14,4.607758620689655
2011-07-15,4.607758620689655
2011-07-16,4.627705627705628
2011-07-17,4.627705627705628
2011-07-18,4.625
2011-07-19,4.668103448275862
2011-07-20,4.668103448275862
2011-07-21,4.668103448275862
2011-07-22,4.676724137931035
2011-07-23,4.688311688311688
2011-07-24,4.688311688311688
2011-07-25,4.681034482758621
2011-07-26,4.693965517241379
2011-07-27,4.702586206896552
2011-07-28,4.719827586206897
2011-07-29,4.693965517241379
2011-07-30,4.705627705627705
2011-07-31,4.705627705627705
2011-08-01,4.685344827586207
